"url_bulletins","year","month","new_cases","total_cases","median_age","female_cases","female_percent","male_cases","male_percent","recovered_cases","emergency_room_visit_request","no_vaccination_cases","no_vaccination_percent","first_dose_vaccination","first_dose_vaccination_percent","second_dose_vaccination","second_dose_vaccination_percent"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_12.pdf",2015,1,12,12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_13.pdf",2015,2,21,33,21,NA,NA,NA,NA,4,6,18,"58.1",11,"35.5",2,"6.4"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_14.pdf",2015,3,15,48,22,NA,NA,NA,NA,6,9,29,"63.0",15,"32.6",2,"4.3"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_15.pdf",2015,4,18,66,19,36,"54.5",30,"45.5",13,8,46,"74.2",13,"21.0",2,"3.2"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_16.pdf",2015,5,35,101,19,54,"53.5",47,"46.5",26,14,76,"78.4",17,"17.5",3,"3.1"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_17.pdf",2015,6,22,123,20,64,"52.0",59,"48.0",36,20,94,"79.7",20,"16.9",3,"2.5"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_18.pdf",2015,7,17,140,21,74,"52.9",66,"47.1",47,23,106,"79.7",23,"17.3",3,"2.3"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_19.pdf",2015,8,10,150,21,79,"52.7",71,"47.3",56,23,113,"80.2",24,"17.0",3,"2.1"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_20.pdf",2015,9,21,171,21,88,"51.5",83,"48.5",65,25,129,"80.1",28,"17.4",3,"1.9"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_21.pdf",2015,10,1,172,24,85,"49.4",87,"50.6",72,21,136,"84.5",20,"12.4",4,"2.5"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_22.pdf",2015,11,32,204,23,101,"49.5",103,"50.5",87,30,157,"83.1",24,"12.7",4,"2.1"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_23.pdf",2015,12,47,251,23,122,"48.6",129,"51.4",107,37,190,"84.4",24,"10.7",6,"2.7"
