"url_bulletins","year","month","code_region","name_region","lat","lon","new_unclassified_cases","total_unclassified_cases","new_no_cases","total_no_cases","new_possible_cases","total_possible_cases","new_probable_cases","total_probable_cases","new_confirmed_cases","total_confirmed_cases","new_cases","total_cases","incidence"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_39.pdf",2018,2,9,"Tuscany",43.76923077,11.25588885,0,0,1,2,2,2,-1,0,11,18,12,20,3.2
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_39.pdf",2018,2,10,"Umbria",43.10675841,12.38824698,0,0,0,0,0,0,0,0,1,1,1,1,0.7
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_39.pdf",2018,2,11,"Marche",43.61675973,13.5188753,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_39.pdf",2018,2,12,"Lazio",41.89277044,12.48366722,1,5,3,7,8,13,3,6,51,89,62,108,11
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_39.pdf",2018,2,13,"Abruzzo",42.35122196,13.39843823,0,0,0,0,0,0,0,0,2,2,2,2,0.9
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_39.pdf",2018,2,14,"Molise",41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_39.pdf",2018,2,15,"Campania",40.83956555,14.25084984,0,0,0,0,5,7,1,1,4,5,10,13,1.3
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_39.pdf",2018,2,16,"Apulia",41.12559576,16.86736689,0,0,1,1,1,1,0,0,0,1,1,2,0.3
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_39.pdf",2018,2,17,"Basilicata",40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,1,0,1,1.1
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_39.pdf",2018,2,18,"Calabria",38.90597598,16.59440194,0,0,0,0,0,2,0,0,20,34,20,36,11
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_39.pdf",2018,2,19,"Sicily",38.11569725,13.3623566999999,-3,2,1,1,47,56,3,16,66,105,116,177,21
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_39.pdf",2018,2,20,"Sardinia",39.21531192,9.110616306,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_40.pdf",2018,3,1,"Piedmont",45.0732745,7.680687483,0,0,2,4,1,5,0,0,1,5,2,10,0.9
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_40.pdf",2018,3,2,"Aosta Valley",45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_40.pdf",2018,3,3,"Lombardy",45.46679409,9.190347404,0,0,9,12,0,1,1,3,26,35,27,39,1.6
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_40.pdf",2018,3,21,"AP Bolzano",46.49933453,11.35662422,0,0,0,1,0,0,0,0,0,1,0,1,0.8
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_40.pdf",2018,3,22,"AP Trento",46.06893511,11.12123097,0,0,0,0,0,0,0,0,1,1,1,1,0.7
