"url_bulletins","year","month","code_region","name_region","lat","lon","new_unclassified_cases","total_unclassified_cases","new_no_cases","total_no_cases","new_possible_cases","total_possible_cases","new_probable_cases","total_probable_cases","new_confirmed_cases","total_confirmed_cases","new_cases","total_cases","Unit","incidence"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2",8,"Emilia-Romagna",44.49436681,11.3417208,0,0,0,0,0,0,0,0,8,12,8,12,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2",9,"Tuscany",43.76923077,11.25588885,0,0,1,1,0,0,0,0,12,12,12,12,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2",10,"Umbria",43.10675841,12.38824698,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2",11,"Marche",43.61675973,13.5188753,0,0,0,0,0,0,0,0,0,1,0,1,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2",12,"Lazio",41.89277044,12.48366722,0,0,0,0,3,3,0,0,12,12,15,15,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2",13,"Abruzzo",42.35122196,13.39843823,0,0,0,0,0,0,0,1,0,1,0,2,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2",14,"Molise",41.55774754,14.65916051,0,0,0,0,0,1,0,0,0,0,0,1,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2",15,"Campania",40.83956555,14.25084984,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2",16,"Apulia",41.12559576,16.86736689,0,0,0,0,1,1,2,2,2,2,5,5,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2",17,"Basilicata",40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2",18,"Calabria",38.90597598,16.59440194,0,0,0,0,0,0,3,3,7,7,10,10,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2",19,"Sicily",38.11569725,13.3623566999999,0,0,0,0,0,0,0,0,1,2,1,2,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2",20,"Sardinia",39.21531192,9.110616306,0,0,0,0,0,0,1,1,0,0,1,1,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_04.pdf",2014,"3",1,"Piedmont",45.0732745,7.680687483,1,1,1,5,44,125,57,212,27,98,128,435,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_04.pdf",2014,"3",2,"Aosta Valley",45.73750286,7.320149366,0,0,0,0,1,1,0,0,0,0,1,1,NA,NA
